Year,riders new,city,station
2018,"14,592",San Clemente,San Clemente
2018,"14,428",Culpeper,Culpeper
2018,"14,414",East Glacier Park,East Glacier Park
2018,"14,398",Winona,Winona
2018,"14,267",Auburn,Auburn
2018,"14,134",El Paso,El Paso
2018,"13,964",Pontiac,"Pontiac, MI"
2018,"13,848",Sebring,Sebring
2018,"13,794",Greenwood,Greenwood
2018,"13,708",White River Junction,White River Junction
2018,"13,643",Delray Beach,Delray Beach
2018,"13,631",Wisconsin Dells,Wisconsin Dells
2018,"13,539",Durand,Durand
2018,"13,346",Grand Forks,Grand Forks
2018,"13,137",Guadalupe-Santa Maria,Guadalupe
2018,"13,003",Plattsburgh,Plattsburgh
2018,"12,959",Rutland,Rutland
2018,"12,643",Greensburg,Greensburg
2018,"12,586",Mount Pleasant,Mount Pleasant
2018,"12,469",Norman,Norman
2018,"12,290",Selma-Smithfield,Selma
2018,"12,172",Greenville,Greenville
2018,"12,089",Carlinville,Carlinville
2018,"12,046",Warrensburg,Warrensburg
2018,"11,914",Tomah,Tomah
2018,"11,622",Maricopa,Maricopa
2018,"11,598",Palatka,Palatka
2018,"11,474",Riverside,Riverside
2018,"11,414",Columbus,Columbus
2018,"11,382",Oregon City,Oregon City
2018,"11,203",Charleston,Charleston
2018,"11,102",Havre,Havre
2018,"11,098",Slidell,Slidell
2018,"11,043",Ottumwa,Ottumwa
2018,"10,956",La Plata,La Plata
2018,"10,925",La Grange Road,La Grange Road
2018,"10,896",Cumberland,Cumberland
2018,"10,747",Paso Robles,Paso Robles
2018,"10,687",Martinsburg,Martinsburg
2018,"10,656",San Bernardino,San Bernardino
2018,"10,450",Kingstree,Kingstree
2018,"10,414",Chico,Chico
2018,"10,387",Shelby,Shelby
2018,"10,248",Huntington,Huntington
2018,"10,166",Amsterdam,Amsterdam
2018,"10,107",Tuscaloosa,Tuscaloosa
2018,"10,006",Fraser,Fraser
2018,"9,913",Dwight,Dwight
2018,"9,822",Redding,Redding
2018,"9,740",Yemassee,Yemassee
2018,"9,731",Lamy,Lamy
2018,"9,669",Woodbridge,Woodbridge
2018,"9,566",St. Cloud,St. Cloud
2018,"9,461",Jesup,Jesup
2018,"9,429",Wallingford,Wallingford
2018,"9,346",Hammond,Hammond
2018,"9,289",Sedalia,Sedalia
2018,"9,279",Lodi,Lodi
2018,"9,276",Fort Edward-Glens Falls,Fort Edward/Glens Falls
2018,"9,199",Chemult,Chemult
2018,"9,143",Sandusky,Sandusky
2018,"9,136",Topeka,Topeka
2018,"9,135",Lompoc,Lompoc
2018,"9,125",Needles,Needles
2018,"9,090",Meridian,Meridian
2018,"9,066",Kingman,Kingman
2018,"8,948",Lapeer,Lapeer
2018,"8,685",Hattiesburg,Hattiesburg
2018,"8,676",Lewistown,Lewistown
2018,"8,668",Burlington,Burlington
2018,"8,656",Elko,Elko
2018,"8,371",Marshall,Marshall
2018,"8,362",Lawrence,Lawrence
2018,"8,315",Cincinnati,Cincinnati
2018,"8,293",Du Quoin,Du Quoin
2018,"8,270",Pittsfield,Pittsfield
2018,"8,265",Red Wing,Red Wing
2018,"7,874",Montpelier-Barre,Montpelier
2018,"7,663",San Marcos,San Marcos
2018,"7,612",Harpers Ferry,Harpers Ferry
2018,"7,498",Burke - Burke Centre,Burke Centre
2018,"7,443",Leavenworth,Leavenworth
2018,"7,392",Raton,Raton
2018,"7,373",La Junta,La Junta
2018,"7,280",Elyria,Elyria
2018,"7,266",Portage,Portage
2018,"7,166",Sandpoint,Sandpoint
2018,"7,056",Garden City,Garden City
2018,"6,934",Danville,Danville
2018,"6,925",Southern Pines,Southern Pines
2018,"6,902",New Brunswick,New Brunswick
2018,"6,683",Independence,Independence
2018,"6,658",Gainesville,"Gainesville, FL"
2018,"6,516",Rome,Rome
2018,"6,442",Plano,Plano
2018,"6,423",Mineola,Mineola
2018,"6,423",Minneapolis / St. Paul,Minneapolis / St. Paul
2018,"6,157",Worcester,Worcester
2018,"6,151",Lafayette,Lafayette
2018,"6,133",Texarkana,Texarkana
2018,"5,911",Victorville,Victorville
2018,"5,891",Fort Madison,Fort Madison
2018,"5,841",Dillon,Dillon
2018,"5,836",Hinton,Hinton
2018,"5,788",Hammond-Whiting,Hammond/Whiting
2018,"5,766",Huntingdon,Huntingdon
2018,"5,723",Staples,Staples
2018,"5,680",White Sulphur Springs,White Sulphur Springs
2018,"5,660",Crawfordsville,Crawfordsville
2018,"5,658",Colfax,Colfax
2018,"5,635",Trinidad,Trinidad
2018,"5,596",Westport,Westport
2018,"5,453",Taylor,Taylor
2018,"5,434",Glasgow,Glasgow
2018,"5,311",Alpine,Alpine
2018,"5,304",Hastings,Hastings
2018,"5,289",Dodge City,Dodge City
2018,"5,225",Bryan,Bryan
2018,"5,162",Rockville,Rockville
2018,"5,160",Staunton,Staunton
2018,"5,120",Provo,Provo
2018,"5,110",Waterbury-Stowe,Waterbury/Stowe
2018,"5,078",Stanwood,Stanwood
2018,"5,061",McGregor,McGregor
