,Year,Ridership,city
0,2012,N/A,Biloxi
1,2013,N/A,Biloxi
2,2014,N/A,Biloxi
3,2015,N/A,Biloxi
4,2016,N/A,Biloxi
5,2017,N/A,Biloxi
6,2018,N/A,Biloxi
0,2012,3147.0,Bingen-White Salmon
1,2013,3629.0,Bingen-White Salmon
2,2014,2867.0,Bingen-White Salmon
3,2015,3081.0,Bingen-White Salmon
4,2016,3691.0,Bingen-White Salmon
5,2017,3825.0,Bingen-White Salmon
6,2018,3272.0,Bingen-White Salmon
0,2012,47904.0,Birmingham
1,2013,47780.0,Birmingham
2,2014,45866.0,Birmingham
3,2015,44212.0,Birmingham
4,2016,42034.0,Birmingham
5,2017,41702.0,Birmingham
6,2018,39891.0,Birmingham
0,2012,234.4,Bloomington-Normal
1,2013,257.8,Bloomington-Normal
2,2014,257.7,Bloomington-Normal
3,2015,251.3,Bloomington-Normal
4,2016,222.6,Bloomington-Normal
5,2017,237.6,Bloomington-Normal
6,2018,235.5,Bloomington-Normal
0,2012,522.2,Boston - Back Bay
1,2013,534.8,Boston - Back Bay
2,2014,561.9,Boston - Back Bay
3,2015,573.3,Boston - Back Bay
4,2016,604.7,Boston - Back Bay
5,2017,618.1,Boston - Back Bay
6,2018,676.5,Boston - Back Bay
0,2012,466.9,Boston - North Station Maine Service
1,2013,467.5,Boston - North Station Maine Service
2,2014,426.8,Boston - North Station Maine Service
3,2015,354.1,Boston - North Station Maine Service
4,2016,419.2,Boston - North Station Maine Service
5,2017,432.8,Boston - North Station Maine Service
6,2018,458.2,Boston - North Station Maine Service
0,2012,N/A,Boston - Route 128 / Westwood
1,2013,N/A,Boston - Route 128 / Westwood
2,2014,N/A,Boston - Route 128 / Westwood
3,2015,N/A,Boston - Route 128 / Westwood
4,2016,N/A,Boston - Route 128 / Westwood
5,2017,N/A,Boston - Route 128 / Westwood
6,2018,N/A,Boston - Route 128 / Westwood
0,2012,466.9,Boston - Route 128 / Westwood
1,2013,467.5,Boston - Route 128 / Westwood
2,2014,426.8,Boston - Route 128 / Westwood
3,2015,354.1,Boston - Route 128 / Westwood
4,2016,419.2,Boston - Route 128 / Westwood
5,2017,432.8,Boston - Route 128 / Westwood
6,2018,458.2,Boston - Route 128 / Westwood
0,2012,1421.9,Boston - South Station
1,2013,1407.9,Boston - South Station
2,2014,1469.3,Boston - South Station
3,2015,1527.4,Boston - South Station
4,2016,1552.7,Boston - South Station
5,2017,1543.0,Boston - South Station
6,2018,1533.5,Boston - South Station
0,2012,16922.0,Brattleboro
1,2013,18332.0,Brattleboro
2,2014,19835.0,Brattleboro
3,2015,18580.0,Brattleboro
4,2016,16000.0,Brattleboro
5,2017,16345.0,Brattleboro
6,2018,16649.0,Brattleboro
0,2012,84446.0,Bridgeport
1,2013,80309.0,Bridgeport
2,2014,80571.0,Bridgeport
3,2015,80198.0,Bridgeport
4,2016,83211.0,Bridgeport
5,2017,87023.0,Bridgeport
6,2018,90196.0,Bridgeport
0,2012,4635.0,Brookhaven
1,2013,4900.0,Brookhaven
2,2014,5178.0,Brookhaven
3,2015,5172.0,Brookhaven
4,2016,4252.0,Brookhaven
5,2017,4131.0,Brookhaven
6,2018,4028.0,Brookhaven
0,2012,2180.0,Browning
1,2013,2005.0,Browning
2,2014,1782.0,Browning
3,2015,1576.0,Browning
4,2016,1574.0,Browning
5,2017,1645.0,Browning
6,2018,1334.0,Browning
0,2012,Partial Data,Brunswick
1,2013,Partial Data,Brunswick
2,2014,Partial Data,Brunswick
3,2015,Partial Data,Brunswick
4,2016,Partial Data,Brunswick
5,2017,Partial Data,Brunswick
6,2018,Partial Data,Brunswick
0,2012,7664.0,Bryan
1,2013,6693.0,Bryan
2,2014,6597.0,Bryan
3,2015,5608.0,Bryan
4,2016,5787.0,Bryan
5,2017,5825.0,Bryan
6,2018,5225.0,Bryan
0,2012,123.7,Buffalo - Depew
1,2013,120.4,Buffalo - Depew
2,2014,124.2,Buffalo - Depew
3,2015,114.8,Buffalo - Depew
4,2016,106.1,Buffalo - Depew
5,2017,105.0,Buffalo - Depew
6,2018,104.2,Buffalo - Depew
0,2012,35622.0,Buffalo - Exchange St.
1,2013,37885.0,Buffalo - Exchange St.
2,2014,40809.0,Buffalo - Exchange St.
3,2015,41216.0,Buffalo - Exchange St.
4,2016,37524.0,Buffalo - Exchange St.
5,2017,35066.0,Buffalo - Exchange St.
6,2018,38089.0,Buffalo - Exchange St.
0,2012,47217.0,Burbank - Airport
1,2013,51998.0,Burbank - Airport
2,2014,54180.0,Burbank - Airport
3,2015,57971.0,Burbank - Airport
4,2016,60625.0,Burbank - Airport
5,2017,63845.0,Burbank - Airport
6,2018,63560.0,Burbank - Airport
0,2012,4099.0,Burke - Burke Centre
1,2013,4950.0,Burke - Burke Centre
2,2014,5535.0,Burke - Burke Centre
3,2015,6082.0,Burke - Burke Centre
4,2016,6220.0,Burke - Burke Centre
5,2017,6354.0,Burke - Burke Centre
6,2018,7498.0,Burke - Burke Centre
0,2012,19926.0,Burlington
1,2013,20045.0,Burlington
2,2014,21400.0,Burlington
3,2015,21022.0,Burlington
4,2016,18628.0,Burlington
5,2017,19564.0,Burlington
6,2018,20390.0,Burlington
